date,open,high,low,close,volume
2018-06-28 13:10:00,7.7928,7.7928,7.7906,7.7906,366.45046661
2018-06-28 13:09:00,7.7943,7.7943,7.7909,7.7909,870.67090304
2018-06-28 13:08:00,7.823,7.823,7.7959,7.7959,2155.2702148
2018-06-28 13:07:00,7.8216,7.822,7.7934,7.822,14026.79831565
2018-06-28 13:06:00,7.8226,7.8228,7.8211,7.8212,66.50197067
2018-06-28 13:05:00,7.8248,7.8248,7.82,7.82,5000.0
2018-06-28 13:04:00,7.8281,7.8281,7.8254,7.827,814.39149056
2018-06-28 13:03:00,7.828,7.828,7.828,7.828,2.0
2018-06-28 13:02:00,7.83,7.83,7.83,7.83,28.75592799
2018-06-28 13:01:00,7.8301,7.8301,7.83,7.83,4537.84673678
2018-06-28 13:00:00,7.8301,7.8301,7.83,7.8301,1800.32535886
2018-06-27 22:02:00,7.6122,7.6123,7.6122,7.6123,1008.77784237
2018-06-27 22:01:00,7.6142,7.616,7.6101,7.6123,1483.17749624
2018-06-27 22:00:00,7.586,7.6126,7.586,7.6054,4208.84156704
2018-06-27 21:59:00,7.6026,7.6026,7.5842,7.5842,1247.21881833
2018-06-27 21:58:00,7.6099,7.6205,7.6078,7.6085,3695.0064469
2018-06-27 21:57:00,7.5937,7.61,7.5937,7.61,1824.80844923
2018-06-27 21:56:00,7.5799,7.5995,7.5799,7.5934,8483.25874487
2018-06-27 21:55:00,7.57986751,7.5799,7.57986751,7.5799,2000.28598162
2018-06-27 21:54:00,7.5799,7.583,7.5798,7.5798,1927.88996687
2018-06-27 21:53:00,7.5667,7.5799,7.556,7.5799,2258.14160199
2018-06-27 21:52:00,7.572,7.572,7.5667,7.5667,527.74637935
2018-06-27 21:51:00,7.5831,7.5831,7.573,7.5738,1121.94922177
2018-06-27 21:50:00,7.588,7.588,7.584,7.584,1980.45936865
2018-06-27 21:49:00,7.5831,7.589,7.5821,7.5882,2085.00051213
2018-06-27 21:48:00,7.581,7.581,7.581,7.581,2.0
2018-06-27 21:47:00,7.5852,7.5863,7.572,7.577,8097.07348502
2018-06-27 21:46:00,7.6223,7.6224,7.5903,7.5903,6662.72279462
2018-06-27 21:44:00,7.6279,7.628,7.6272,7.6279,1224.40936158
2018-06-27 21:43:00,7.628,7.628,7.627,7.627,297.93365314
2018-06-27 21:41:00,7.6277,7.636,7.6277,7.63,641.15410216
2018-06-27 21:40:00,7.6274,7.6274,7.6272,7.6272,131.106
2018-06-27 21:39:00,7.6281,7.632,7.628,7.632,105.0
2018-06-27 21:38:00,7.6381,7.6405,7.6311,7.6317,1348.47361815
2018-06-27 21:37:00,7.6383,7.6383,7.638,7.6381,547.63282936
2018-06-27 21:36:00,7.6273,7.6361,7.6272,7.6361,728.2848
2018-06-27 21:35:00,7.627,7.6271,7.627,7.6271,693.14122397
2018-06-27 21:34:00,7.641,7.641,7.6245,7.627,2276.95431865
2018-06-27 21:33:00,7.6421,7.6421,7.6359,7.642,1558.67364699
2018-06-27 21:32:00,7.6359,7.664,7.6359,7.6438,13460.0847
2018-06-27 21:31:00,7.6309,7.6543,7.63,7.638,10712.00000001
2018-06-27 21:30:00,7.635,7.635,7.631,7.631,1048.0
2018-06-27 21:29:00,7.6305,7.64,7.6266,7.635,1880.26511356
2018-06-27 21:28:00,7.6495,7.6495,7.625,7.625,130.0208
2018-06-27 21:27:00,7.6291,7.6498,7.62,7.6496,4307.4091356
2018-06-27 21:26:00,7.6291,7.6291,7.629,7.629,656.6755
2018-06-27 21:25:00,7.6256,7.6297,7.6255,7.6291,1866.67387539
2018-06-27 21:24:00,7.6179,7.6254,7.615,7.6254,3396.38461311
2018-06-27 21:23:00,7.619,7.6191,7.617,7.617,2752.34146
2018-06-27 21:22:00,7.6428,7.6475,7.6197,7.6197,3020.99608635
2018-06-27 21:21:00,7.657,7.657,7.6251,7.6312,2846.8953665
2018-06-27 21:20:00,7.6577,7.6589,7.657,7.657,1174.06752704
2018-06-27 21:19:00,7.671,7.671,7.6531,7.6562,1610.18458528
2018-06-27 21:18:00,7.672,7.673,7.6621,7.6711,861.5
2018-06-27 21:17:00,7.669,7.681,7.6633,7.674,8050.89708458
2018-06-27 21:16:00,7.665,7.6699,7.6583,7.669,3889.08600273
2018-06-27 21:15:00,7.6581,7.6698,7.6581,7.6698,5720.27724308
2018-06-27 21:14:00,7.6714,7.6714,7.659,7.659,3362.74525065
2018-06-27 21:13:00,7.6559,7.6653,7.6559,7.6629,6421.28355919
2018-06-27 21:12:00,7.645,7.6561,7.645,7.6561,5866.60409305
2018-06-27 21:11:00,7.6467,7.6467,7.6449,7.645,1673.67020695
2018-06-27 21:10:00,7.6475,7.6482,7.6472,7.6472,389.82887818
2018-06-27 21:09:00,7.655,7.655,7.654,7.654,362.06614819
2018-06-27 21:08:00,7.658,7.658,7.655,7.655,1385.0
